# Mapeo de 3.6.8.8 a 3.6.9.9.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
ijq		duda			
ijr		duda			
ijs		duda			
ijv		duda			
ijw		duda			
ijx		duda			
ika		duda			
ikc		duda			
ikd		duda			
ike	irm	estructura			
ikf		duda			
ikg		duda			
ikj	lkz	estructura			
ikk		duda			
iko		duda			
ikr		duda			
iks		duda			
ikv		duda			
ikw		duda			
ikx		duda			
ikz		duda			
ila		duda			
ilb		duda			
ild		duda			
ilg		duda			
ilk	iwm	estructura			
ill		duda			
ilr	lyn	estructura			
ils		duda			
ilt		duda			
ilu		duda			
ily		duda			
imc		duda			
imh	ikf	estructura			
imi		duda			
imj		duda			
imk		duda			
iml		duda			
imm		duda			
imn	ilw	estructura			
imo		duda			
imr	izs	estructura			
ims	inq	estructura			
imt		duda			
imv		duda			
imw		duda			
ina		duda			
ind		duda			
ine	ltq	estructura			
ing		duda			
ini		duda			
inj		duda			
ink		duda			
inl		duda			
inm	jwn	estructura			
inn	hmn	estructura			
inp		duda			
inr		duda			
ins	lhi	estructura			
int		duda			
inv		duda			
iny		duda			
ioc		duda			
iog	iun	estructura			
ioi		duda			
ioj		duda			
iok		duda			
iol		duda			
ioo		duda			
iop		duda			
ioq		duda			
ios		duda			
iou		duda			
iov		duda			
iow		duda			
iox		duda			
ipc		duda			
ipd		duda			
ipf		duda			
ipl		duda			
ipm		duda			
ipp	kih	estructura			
ipq	kij	estructura			
ipr		duda			
ipt		duda			
ipu		duda			
ipv		duda			
ipw		duda			
ipy		duda			
ipz		duda			
iqb		duda			
iqc	iij	estructura			
iqg		duda			
iqh		duda			
iqi		duda			
iqn		duda			
iqo		duda			
iqp		duda			
iqr		duda			
iqs		duda			
iqt		duda			
iqy	lld	estructura			
ira	kyn	estructura			
irb		duda			
ird		duda			
irf		duda			
iri	kmh	estructura			
irk		duda			
irp		duda			
irq	imv	estructura			
irs		duda			
irt		duda			
iru		duda			
irv		duda			
irx		duda			
iry		duda			
isa		duda			
isb		duda			
isd		duda			
ise		duda			
isf		duda			
isi	kwk	estructura			
isj	jbq	estructura			
isl		duda			
ism		duda			
isn		duda			
iso		duda			
isr	kmb	estructura			
iss		duda			
ist	htu	estructura			
isw		duda			
isx		duda			
ita		duda			
itb		duda			
itf		duda			
itk		duda			
itm		duda			
itn		duda			
ito		duda			
itp	lxp	estructura			
itr	lxr	estructura			
itu		duda			
ity		duda			
itz		duda			
iua		duda			
iub		duda			
iuc		duda			
iud		duda			
iue		duda			
iuf		duda			
iug		duda			
iuh	iwd	estructura			
ium		duda			
iun		duda			
iuo		duda			
iup		duda			
iuq		duda			
iur		duda			
iuv		duda			
iuw		duda			
iuz		duda			
iva		duda			
ivb		duda			
ivc		duda			
ivf		duda			
ivg		duda			
ivi		duda			
ivj		duda			
ivk		duda			
ivl		duda			
ivp		duda			
ivq		duda			
ivr		duda			
ivv		duda			
ivw		duda			
ivy		duda			
ivz		duda			
iwi		duda			
iwl		duda			
iwn		duda			
iwp		duda			
iwq		duda			
