# Mapeo de Ankama.Dofus.Protocol.Game a 3.6.10.10.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
ihr	inq	estructura			
ihs		duda			
ihv		duda			
ihw		duda			
iia		duda			
iib	lrt	estructura			
iic		duda			
iif		duda			
iig	imr	estructura			
iih		duda			
iii		duda			
iij		duda			
iik	lgz	estructura			
iil		duda			
iim		duda			
iin		duda			
iiq		duda			
iir		duda			
iis		duda			
iit		duda			
iiu		duda			
iiw		duda			
ijc		duda			
ijd	jwn	estructura			
ijf		duda			
ijg		duda			
ijh		duda			
ijj		duda			
ijk		duda			
ijl		duda			
ijm		duda			
ijp		duda			
ijs		duda			
ijt		duda			
iju		duda			
ijv	ktx	estructura			
ijw		duda			
ijx		duda			
ijy		duda			
ijz		duda			
ikc		duda			
ikg	hoc	estructura			
ikj		duda			
ikk		duda			
ikm		duda			
iko		duda			
ikr	ikr	estructura			
iku		duda			
ikv	lkz	estructura			
ikx		duda			
ila		duda			
ilc		duda			sí
ild		duda			
ilf		duda			
ili	hyj	estructura			
ilm		duda			
ilo		duda			
ilr		duda			
ilv		duda			
ily		duda			
imb	lnb	estructura			
imd		duda			
ime		duda			
imi		duda			
imj	ipb	estructura			
imk		duda			
imm	lro	estructura			
imp		duda			
imq		duda			
ims		duda			
imu		duda			
imv		duda			
imz		duda			
ina		duda			
inf		duda			
ing		duda			
inh		duda			
inl		duda			
ino		duda			
inp		duda			
inr		duda			
inv		duda			
inw		duda			
inx		duda			
iob		duda			
iod	iqu	estructura			
ioi	hsa	estructura			
ioj		duda			
ios		duda			sí
iot		duda			
iou		duda			
iov		duda			sí
iow		duda			
ipe	ipz	estructura			
ipf		duda			
ipg		duda			
iph		duda			
ipi	imv	estructura			
ipl		duda			
ipm	kbd	estructura			
ipp		duda			
ipq		duda			
ipr	knc	estructura			
ipt		duda			
ipu		duda			
ipv		duda			
ipw		duda			
ipy		duda			
iqd		duda			
iqf		duda			
iqg		duda			
iql		duda			
iqn		duda			
iqu		duda			
iqx	ipp	estructura			
iqz		duda			
ira		duda			
irb		duda			
irc		duda			
irf		duda			
irg		duda			
irh		duda			
iri		duda			
irj		duda			
irp		duda			
irq		duda			sí
irv		duda			
irx		duda			
iry		duda			sí
irz		duda			
isc		duda			
isd		duda			
ise		duda			sí
isf		duda			sí
isg		duda			
ish		duda			
isi		duda			sí
isk	ikf	estructura			
isn	kaw	estructura			
isp		duda			
isq		duda			
isr		duda			
isv		duda			
isy		duda			
isz		duda			
ita		duda			
itd		duda			sí
