# Los nombres reales de los mensajes, sacados de global-metadata.dat de 3.6.10.10.
#
# El ofuscador renombra las clases a tres letras pero deja estas cadenas en el fichero, en la
# region fieldAndParameterDefaultValueData. Estan huerfanas: NADIE las referencia (comprobado
# contra las tablas de valores por defecto: 3 coincidencias de 2.687, o sea ruido). Asi que no
# se puede saber por el cliente cual va con cual.
#
# Sirven igual: son la lista CERRADA de nombres validos de esta version. Bautizar un opcode deja
# de ser inventar y pasa a ser elegir de una lista de 513.
#
# nombre_corto\tnombre_completo
BakConsumeBufferRequest	Com.Ankama.Dofus.Server.Game.Protocol.Bak.BakConsumeBufferRequest
BakTransactionValidationEvent	Com.Ankama.Dofus.Server.Game.Protocol.Bak.BakTransactionValidationEvent
DateEvent	Com.Ankama.Dofus.Server.Game.Protocol.Basic.DateEvent
TextInformationEvent	Com.Ankama.Dofus.Server.Game.Protocol.Basic.TextInformationEvent
WhoIsNumericEvent	Com.Ankama.Dofus.Server.Game.Protocol.Basic.WhoIsNumericEvent
Bonus	Com.Ankama.Dofus.Server.Game.Protocol.Bonus.Bonus
CardInfoRequest	Com.Ankama.Dofus.Server.Game.Protocol.Card.CardInfoRequest
CardInfoResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.CardInfoResponse
CardOpenOutfitDraftResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.CardOpenOutfitDraftResponse
CardViewRequest	Com.Ankama.Dofus.Server.Game.Protocol.Card.CardViewRequest
CardViewResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.CardViewResponse
ChangeBackgroundCardRequest	Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeBackgroundCardRequest
ChangeBackgroundCardResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeBackgroundCardResponse
ChangeEnabledViewResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeEnabledViewResponse
ChangeHighlightedJobsResponse	Com.Ankama.Dofus.Server.Game.Protocol.Card.ChangeHighlightedJobsResponse
ChallengeListEvent	Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeListEvent
ChallengeNumberEvent	Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeNumberEvent
ChallengeReadyRequest	Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeReadyRequest
ChallengeSelectedEvent	Com.Ankama.Dofus.Server.Game.Protocol.Challenge.ChallengeSelectedEvent
CharacterCharacteristicUpgradeResultEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterCharacteristicUpgradeResultEvent
CharacterExperienceGainEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterExperienceGainEvent
CharacterLifeStatusEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterLifeStatusEvent
CharacterOnConnectionEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.CharacterOnConnectionEvent
CharacterDeletionErrorEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterDeletionErrorEvent
CharacterNameGenerationFailedEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterNameGenerationFailedEvent
CharacterSelectionEvent	Com.Ankama.Dofus.Server.Game.Protocol.Character.Management.CharacterSelectionEvent
ChatErrorEvent	Com.Ankama.Dofus.Server.Game.Protocol.Chat.ChatErrorEvent
ChatPrivateCopyMessageEvent	Com.Ankama.Dofus.Server.Game.Protocol.Chat.ChatPrivateCopyMessageEvent
MonsterGroup	Com.Ankama.Dofus.Server.Game.Protocol.Chat.MonsterGroup
ChoiceCancelRequest	Com.Ankama.Dofus.Server.Game.Protocol.Choice.ChoiceCancelRequest
ChoiceCancelResponse	Com.Ankama.Dofus.Server.Game.Protocol.Choice.ChoiceCancelResponse
FightChoiceSelectionEvent	Com.Ankama.Dofus.Server.Game.Protocol.Choice.FightChoiceSelectionEvent
ClickStopListeningEvent	Com.Ankama.Dofus.Server.Game.Protocol.Click.ClickStopListeningEvent
ClientChallengeProofRequest	Com.Ankama.Dofus.Server.Game.Protocol.Client.Verification.ClientChallengeProofRequest
ServerSessionReadyEvent	Com.Ankama.Dofus.Server.Game.Protocol.Client.Verification.ServerSessionReadyEvent
ActorPositionInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.ActorPositionInformation
AlignmentInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.AlignmentInformation
AllianceInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.AllianceInformation
BidActivity	Com.Ankama.Dofus.Server.Game.Protocol.Common.BidActivity
Challenge	Com.Ankama.Dofus.Server.Game.Protocol.Common.Challenge
ChallengeTarget	Com.Ankama.Dofus.Server.Game.Protocol.Common.ChallengeTarget
Character	Com.Ankama.Dofus.Server.Game.Protocol.Common.Character
CharacterCharacteristicValue	Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterCharacteristicValue
CharacterRemodelingInformation	Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterRemodelingInformation
CharacterStatus	Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacterStatus
CharacteristicsInfo	Com.Ankama.Dofus.Server.Game.Protocol.Common.CharacteristicsInfo
EntityLook	Com.Ankama.Dofus.Server.Game.Protocol.Common.EntityLook
FightMark	Com.Ankama.Dofus.Server.Game.Protocol.Common.FightMark
